,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,sys.type,sys.id,message,rain.1h,snow.1h
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917083.0,-7200.0,3418910.0,Upernavik,200,-56.1549,72.7868,33.12,29.34,33.12,33.12,1020.0,83.0,1020.0,1020.0,4.03,157.0,5.3,100.0,GL,0.0,0.0,,,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1620917084.0,36000.0,2163355.0,Hobart,200,147.3294,-42.8794,42.73,41.45,40.01,44.92,1000.0,80.0,,,3.0,338.0,5.99,13.0,AU,1620940490.0,1620975562.0,2.0,2002195.0,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1620917084.0,-21600.0,6170031.0,Tuktoyaktuk,200,-133.0374,69.4541,5.18,-12.75,5.18,5.18,1033.0,78.0,,,14.97,110.0,,20.0,CA,1620900597.0,1620977230.0,1.0,942.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1620916988.0,-21600.0,6185377.0,Yellowknife,200,-114.3525,62.456,43.09,38.86,39.29,47.01,1021.0,70.0,,,7.0,51.0,8.99,75.0,CA,1620902639.0,1620966220.0,2.0,19346.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917084.0,25200.0,1562798.0,Vinh,200,105.6667,18.6667,82.0,90.1,82.0,82.0,1005.0,85.0,1005.0,1004.0,6.22,146.0,7.99,88.0,VN,1620858256.0,1620904993.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1620917085.0,10800.0,623549.0,Pinsk,200,26.0951,52.1229,55.06,53.98,55.06,55.06,1004.0,79.0,1004.0,987.0,12.5,162.0,22.03,100.0,BY,1620872657.0,1620928786.0,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620917085.0,7200.0,86049.0,Jalu,200,21.5482,29.0331,97.7,92.53,97.7,97.7,1010.0,9.0,1010.0,1006.0,5.99,291.0,6.15,0.0,LY,1620877411.0,1620926215.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917085.0,39600.0,2127060.0,Arman',200,150.1667,59.7,32.86,28.09,32.86,32.86,1013.0,81.0,1013.0,1011.0,4.99,164.0,6.55,100.0,RU,1620926802.0,1620987888.0,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620917086.0,-3600.0,3374346.0,Ponta do Sol,200,-25.0919,17.1994,80.98,85.1,80.98,80.98,1015.0,73.0,1015.0,1011.0,13.49,56.0,18.88,0.0,CV,1620889763.0,1620936251.0,1.0,2467.0,,,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1620917086.0,43200.0,2110227.0,Butaritari,200,172.7902,3.0707,81.57,87.76,81.57,81.57,1008.0,80.0,1008.0,1007.0,15.14,64.0,17.36,91.0,KI,1620929857.0,1620973973.0,,,,0.26,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1620917086.0,10800.0,546105.0,Nikolskoye,200,30.7861,59.7035,73.94,72.82,73.94,73.94,1012.0,38.0,1012.0,1008.0,7.05,165.0,11.59,19.0,RU,1620869145.0,1620930046.0,1.0,8926.0,,,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1620917086.0,-34200.0,4020109.0,Atuona,200,-139.0333,-9.8,79.61,79.61,79.61,79.61,1013.0,80.0,1013.0,1005.0,21.05,96.0,23.2,19.0,PF,1620919336.0,1620961370.0,,,,0.31,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1620917087.0,-36000.0,4034551.0,Faanui,200,-151.75,-16.4833,81.32,87.17,81.32,81.32,1013.0,80.0,1013.0,1013.0,18.75,75.0,20.89,100.0,PF,1620922951.0,1620963858.0,,,,0.55,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917087.0,25200.0,1643920.0,Gombong,200,109.5142,-7.6072,82.83,92.77,82.83,82.83,1009.0,86.0,1009.0,1007.0,2.01,105.0,3.62,100.0,ID,1620859499.0,1620901903.0,2.0,2034507.0,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1620917087.0,-10800.0,3833367.0,Ushuaia,200,-68.3,-54.8,43.41,36.21,43.41,45.05,1005.0,70.0,,,14.97,240.0,,20.0,AR,1620908154.0,1620938600.0,1.0,8303.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1620917088.0,-14400.0,3883457.0,Lebu,200,-73.65,-37.6167,57.85,57.0,57.85,57.85,1018.0,78.0,1018.0,1014.0,3.76,200.0,4.85,97.0,CL,1620906370.0,1620942952.0,,,,,
